# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Oct  4 03:36:09 2025,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# User ID:         navidajayaweera2006,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# User preference: archive defaults*,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,
# COLUMN disposition:    Archive Disposition,,,,,,,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,
# COLUMN pl_insol:       Insolation Flux [Earth Flux],,,,,,,,,,,,,,,,,,
# COLUMN pl_eqt:         Equilibrium Temperature [K],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,
# COLUMN pl_imppar:      Impact Parameter,,,,,,,,,,,,,,,,,,
# COLUMN pl_trandep:     Transit Depth [%],,,,,,,,,,,,,,,,,,
# COLUMN pl_trandur:     Transit Duration [hours],,,,,,,,,,,,,,,,,,
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius,,,,,,,,,,,,,,,,,,
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius,,,,,,,,,,,,,,,,,,
# COLUMN pl_occdep:      Occultation Depth [%],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbtper:     Epoch of Periastron [days],,,,,,,,,,,,,,,,,,
# COLUMN pl_orblper:     Argument of Periastron [deg],,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,,,,,
# COLUMN st_age:         Stellar Age [Gyr],,,,,,,,,,,,,,,,,,
# COLUMN sy_gaiamag:     Gaia Magnitude,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
pl_name,hostname,disposition,sy_snum,sy_pnum,pl_orbper,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_logg,st_age,sy_gaiamag
BD+20 594 b,BD+20 594,candidate,1,1,41.688644,,,,89.52554,,,,5703,0.956122,0.963861,4.38,,10.8644
BD+20 594 b,BD+20 594,candidate,1,1,41.6855,0,,546,89.55,,,,5766,0.928,0.961,4.5,3.34,10.8644
BD+20 594 b,BD+20 594,candidate,1,1,41.6855,0,,,89.55,,0.049,,5766,1.08,1.67,4.5,,10.8644
EPIC 201111557.01,EPIC 201111557,candidate,1,0,2.30183,,,1054,,0.42,2.268,1.9008,4616.52,0.762602,0.73,4.53679,,11.3995
EPIC 201111557.01,EPIC 201111557,candidate,1,0,2.302368,,,,87.44384,,,,4720,0.710995,,4.5,,11.3995
EPIC 201126503.01,EPIC 201126503,candidate,1,0,1.1947488,,,,,0,0.448,1.93,3919,0.57,,,,17.8892
EPIC 201127519.01,EPIC 201127519,candidate,1,0,6.178369,,,,88.79651,,,,5015,0.789478,,4.67,,11.4806
EPIC 201127519.01,EPIC 201127519,candidate,1,0,6.17887,,,772,,0.17,1.303,2.5008,4719.28,0.849432,0.756,4.45833,,11.4806
EPIC 201147085.01,EPIC 201147085,candidate,1,0,1.17589,,,,,,0.0686,1.248,,0.309,,,,
EPIC 201152065.01,EPIC 201152065,candidate,1,0,10.6966,,,,,,0.0557,3.24,,0.588,,,,13.9562
EPIC 201160662.01,EPIC 201160662,candidate,1,0,1.5374115,,,,,,1.4564,2.3808,,1.599,,,,12.0464
EPIC 201164625.01,EPIC 201164625,candidate,1,0,2.71189,,,2336,,0.43,0.02,3.1008,6402,3.16745,1.28,3.54386,,11.8357
EPIC 201166680.01,K2-243,candidate,1,2,18.10549,,,,88.94517,,,,6213,1.224685,,4.32,,10.7424
EPIC 201170410.02,EPIC 201170410,candidate,1,1,6.7987,0,,,89.0025,0.46,,,3648,0.282,0.287,4.999,,16.4386
EPIC 201176672.01,EPIC 201176672,candidate,1,0,79.9999,,,,,,,11.7504,4542,0.508,,4.747,,13.9651
EPIC 201176672.02,EPIC 201176672,candidate,1,0,,,,,,,3.06,14.472,,0.707,,,,13.9651
EPIC 201180665.01,EPIC 201180665,candidate,1,0,17.77297,,,830,,0.68,3.662,2.8992,5847,1.25428,1.06,4.26659,,13.0873
EPIC 201182911.01,EPIC 201182911,candidate,1,0,0.99656225,,,,,0.53,35.5,2.26,3727,0.5,,,,15.4518
EPIC 201197348.01,EPIC 201197348,candidate,1,0,14.912381,,,,,0.21,0.252,3.03,4224,0.65,,,,15.0437
EPIC 201197348.01,EPIC 201197348,candidate,1,0,14.9139,,,,,,0.24,3.264,,0.647,,,,15.0437
EPIC 201231940.01,EPIC 201231940,candidate,1,0,0.57303573,,,,,0.35,0.51,0.32,3570,0.43,,,,18.0887
EPIC 201238110 b,EPIC 201238110,candidate,1,1,28.1656,,,,,0.24,,,,,0.41,,,15.2612
